Contact ID,Account ID,Assistant's Name,Asst. Phone,Birthdate,Business Fax,Business Phone,Clean Status,Contact Description,Created By ID,Created Date,Data.com Key,Deleted,Department,Email,Email Bounced Date,Email Bounced Reason,First Name,Full Name,Home Phone,Individual ID,Is Email Bounced,Jigsaw Contact ID,Languages,Last Activity,Last Modified By ID,Last Modified Date,Last Name,Last Referenced Date,Last Stay-in-Touch Request Date,Last Stay-in-Touch Save Date,Last Viewed Date,Lead Source,Level,Mailing Address,Mailing City,Mailing Country,Mailing Geocode Accuracy,Mailing Latitude,Mailing Longitude,Mailing State/Province,Mailing Street,Mailing Zip/Postal Code,Master Record ID,Mobile Phone,Other Address,Other City,Other Country,Other Geocode Accuracy,Other Latitude,Other Longitude,Other Phone,Other State/Province,Other Street,Other Zip/Postal Code,Owner ID,Photo URL,Reports To ID,Salutation,System Modstamp,Title
"003Dn00000DNOMnIAP","001Dn00000IppNGIAZ","","","08/27/1964","(512) 757-9000","(512) 757-6000","Pending","","005Dn0000070keqIAA","02/15/2023T00:26:11.000Z","","false","Procurement","rose@edge.com","","","Rose","Rose Gonzalez","","","false","","English","","005Dn0000070keqIAA","02/15/2023T00:26:11.000Z","Gonzalez","","","","","Trade Show","Primary","[country:null, city:null, countryCode:null, street:313 Constitution Place
Austin, TX 78767
USA, latitude:null, postalCode:null, geocodeAccuracy:null, stateCode:null, state:null, longitude:null]","","","","","","","313 Constitution Place
Austin, TX 78767
USA","","","(512) 757-9340","","","","","","","","","","","005Dn0000070keqIAA","/services/images/photo/003Dn00000DNOMnIAP","","Ms.","02/15/2023T00:26:11.000Z","SVP, Procurement"
"003Dn00000DNOMoIAP","001Dn00000IppNGIAZ","","","05/26/1943","(512) 757-9000","(512) 757-6000","Pending","","005Dn0000070keqIAA","02/15/2023T00:26:11.000Z","","false","Finance","sean@edge.com","","","Sean","Sean Forbes","","","false","","English","","005Dn0000070keqIAA","02/15/2023T00:26:11.000Z","Forbes","","","","","Trade Show","Secondary","[country:null, city:null, countryCode:null, street:312 Constitution Place
Austin, TX 78767
USA, latitude:null, postalCode:null, geocodeAccuracy:null, stateCode:null, state:null, longitude:null]","","","","","","","312 Constitution Place
Austin, TX 78767
USA","","","(512) 757-4561","","","","","","","","","","","005Dn0000070keqIAA","/services/images/photo/003Dn00000DNOMoIAP","","Mr.","02/15/2023T00:26:11.000Z","CFO"
"003Dn00000DNOMpIAP","001Dn00000IppNHIAZ","","","","(336) 222-8000","(336) 222-7000","Pending","","005Dn0000070keqIAA","02/15/2023T00:26:11.000Z","","false","","jrogers@burlington.com","","","Jack","Jack Rogers","","","false","","","","005Dn0000070keqIAA","02/15/2023T00:26:11.000Z","Rogers","","","","","Web","","[country:USA, city:Burlington, countryCode:null, street:525 S. Lexington Ave, latitude:null, postalCode:27215, geocodeAccuracy:null, stateCode:null, state:NC, longitude:null]","Burlington","USA","","","","NC","525 S. Lexington Ave","27215","","","","","","","","","","","","","005Dn0000070keqIAA","/services/images/photo/003Dn00000DNOMpIAP","","Mr.","02/15/2023T00:26:11.000Z","VP, Facilities"
"003Dn00000DNOMqIAP","001Dn00000IppNIIAZ","Jean Marie","(014) 427-4465","","(014) 427-4428","(014) 427-4427","Pending","","005Dn0000070keqIAA","02/15/2023T00:26:11.000Z","","false","Finance","pat@pyramid.net","","","Pat","Pat Stumuller","","","false","","French, English","","005Dn0000070keqIAA","02/15/2023T00:26:11.000Z","Stumuller","","","","","","Primary","[country:France, city:Paris, countryCode:null, street:2 Place Jussieu, latitude:null, postalCode:75251, geocodeAccuracy:null, stateCode:null, state:null, longitude:null]","Paris","France","","","","","2 Place Jussieu","75251","","(014) 454-6364","[country:France, city:Paris, countryCode:null, street:2 Place Jussieu, latitude:null, postalCode:75251, geocodeAccuracy:null, stateCode:null, state:null, longitude:null]","Paris","France","","","","","","2 Place Jussieu","75251","005Dn0000070keqIAA","/services/images/photo/003Dn00000DNOMqIAP","","Ms.","02/15/2023T00:26:11.000Z","SVP, Administration and Finance"
"003Dn00000DNOMrIAP","001Dn00000IppNJIAZ","","","","","(785) 241-6200","Pending","","005Dn0000070keqIAA","02/15/2023T00:26:11.000Z","","false","Internal Operations","a_young@dickenson.com","","","Andy","Andy Young","","","false","","English","","005Dn0000070keqIAA","02/18/2023T04:46:24.000Z","Young","02/18/2023T04:46:24.000Z","","","02/18/2023T04:46:24.000Z","Purchased List","Primary","[country:USA, city:Lawrence, countryCode:null, street:1301 Hoch Drive, latitude:null, postalCode:66045, geocodeAccuracy:null, stateCode:null, state:KS, longitude:null]","Lawrence","USA","","","","KS","1301 Hoch Drive","66045","","(785) 265-5350","[country:USA, city:Lawrence, countryCode:null, street:1301 Hoch Drive, latitude:null, postalCode:66045, geocodeAccuracy:null, stateCode:null, state:KS, longitude:null]","Lawrence","USA","","","","","KS","1301 Hoch Drive","66045","005Dn0000070keqIAA","/services/images/photo/003Dn00000DNOMrIAP","","Mr","02/18/2023T04:46:24.000Z","SVP, Operations"
"003Dn00000DNOMsIAP","001Dn00000IppNKIAZ","","","04/23/1950","(312) 596-1500","(312) 596-1000","Pending","","005Dn0000070keqIAA","02/15/2023T00:26:11.000Z","","false","Finance","barr_tim@grandhotels.com","","","Tim","Tim Barr","","","false","","English","","005Dn0000070keqIAA","02/15/2023T00:26:11.000Z","Barr","","","","","External Referral","Secondary","[country:null, city:null, countryCode:null, street:2335 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA, latitude:null, postalCode:null, geocodeAccuracy:null, stateCode:null, state:null, longitude:null]","","","","","","","2335 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA","","","(312) 596-1230","","","","","","","","","","","005Dn0000070keqIAA","/services/images/photo/003Dn00000DNOMsIAP","","Mr.","02/15/2023T00:26:11.000Z","SVP, Administration and Finance"
"003Dn00000DNOMtIAP","001Dn00000IppNKIAZ","","","07/04/1952","(312) 596-1500","(312) 596-1000","Pending","","005Dn0000070keqIAA","02/15/2023T00:26:11.000Z","","false","Facilities","bond_john@grandhotels.com","","","John","John Bond","","","false","","English","","005Dn0000070keqIAA","02/15/2023T00:26:11.000Z","Bond","","","","","External Referral","Primary","[country:null, city:null, countryCode:null, street:2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA, latitude:null, postalCode:null, geocodeAccuracy:null, stateCode:null, state:null, longitude:null]","","","","","","","2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA","","","(312) 596-1563","","","","","","","","","","","005Dn0000070keqIAA","/services/images/photo/003Dn00000DNOMtIAP","","Mr.","02/15/2023T00:26:11.000Z","VP, Facilities"
"003Dn00000DNOMuIAP","001Dn00000IppNLIAZ","Audrey Haynes","(212) 842-5589","12/19/1939","(212) 842-5501","(212) 842-5500","Pending","","005Dn0000070keqIAA","02/15/2023T00:26:11.000Z","","false","Production","spavlova@uog.com","","","Stella","Stella Pavlova","","","false","","English","","005Dn0000070keqIAA","02/15/2023T00:26:11.000Z","Pavlova","","","","","Public Relations","Tertiary","[country:null, city:null, countryCode:null, street:1303 Avenue of the Americas 
New York, NY 10019
USA, latitude:null, postalCode:null, geocodeAccuracy:null, stateCode:null, state:null, longitude:null]","","","","","","","1303 Avenue of the Americas 
New York, NY 10019
USA","","","(212) 842-5501","","","","","","","(212) 842-5543","","","","005Dn0000070keqIAA","/services/images/photo/003Dn00000DNOMuIAP","","Ms.","02/15/2023T00:26:11.000Z","SVP, Production"
"003Dn00000DNOMvIAP","001Dn00000IppNLIAZ","","","01/31/1957","(212) 842-5501","(212) 842-5500","Pending","","005Dn0000070keqIAA","02/15/2023T00:26:11.000Z","","false","Technology","lboyle@uog.com","","","Lauren","Lauren Boyle","","","false","","English","","005Dn0000070keqIAA","02/15/2023T00:26:11.000Z","Boyle","","","","","Public Relations","Secondary","[country:null, city:null, countryCode:null, street:1304 Avenue of the Americas 
New York, NY 10019
USA, latitude:null, postalCode:null, geocodeAccuracy:null, stateCode:null, state:null, longitude:null]","","","","","","","1304 Avenue of the Americas 
New York, NY 10019
USA","","","(212) 842-5611","","","","","","","","","","","005Dn0000070keqIAA","/services/images/photo/003Dn00000DNOMvIAP","","Ms.","02/15/2023T00:26:11.000Z","SVP, Technology"
"003Dn00000DNOMwIAP","001Dn00000IppNMIAZ","Ron Sage","(503) 421-6782","08/04/1933","(503) 421-7801","(503) 421-7800","Pending","","005Dn0000070keqIAA","02/15/2023T00:26:11.000Z","","false","Operations","b.levy@expressl&t.net","","","Babara","Babara Levy","","","false","","English","","005Dn0000070keqIAA","02/15/2023T00:26:11.000Z","Levy","02/18/2023T05:27:51.000Z","","","02/18/2023T05:27:51.000Z","Word of mouth","Primary","[country:null, city:null, countryCode:null, street:620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States, latitude:null, postalCode:null, geocodeAccuracy:null, stateCode:null, state:null, longitude:null]","","","","","","","620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States","","","(503) 421-5451","","","","","","","","","","","005Dn0000070keqIAA","/services/images/photo/003Dn00000DNOMwIAP","","Ms.","02/15/2023T00:26:11.000Z","SVP, Operations"
