User ID,Alias,Created By ID,Created Date,Email,Full Name,Profile ID,,THESE ARE THE BEST OPTIONS I FOUND
005Dn000007C8qGIAS,autoproc,005Dn000007C8qHIAS,02/15/2023T00:26:11.000Z,autoproc@00ddn00000dgofzmap,Automated Process,00eDn000003EFqiIAG,,DID NOT SEE A PERMISSION SET EXPORT OPTION
005Dn000007C8qNIAS,autocln,005Dn000007C8qHIAS,02/15/2023T00:26:11.000Z,automatedclean@00ddn00000dgofzmap,Data.com Clean,00eDn000003EFqiIAG,,
005Dn0000071j38IAA,sbake,005Dn0000070keqIAA,02/17/2023T00:00:31.000Z,throwaway@gmail.com,Sam Bakeman,00eDn000000Np71IAC,,
005Dn0000071jG5IAI,aslut,005Dn0000070keqIAA,02/17/2023T00:06:01.000Z,throwaway1@gmail.com,Allison Slutsky,00eDn000000Np71IAC,,
005Dn0000070keqIAA,ETodo,005Dn0000070keqIAA,02/15/2023T00:26:11.000Z,todorovevgeny@gmail.com,Evgeny Todorov,00eDn000003EFqgIAG,,
005Dn000007C8qFIAS,integ,005Dn0000070keqIAA,02/15/2023T00:26:11.000Z,integration@example.com,Integration User,00eDn000003EFqhIAG,,
005Dn000007C8qOIAS,sec,005Dn0000070keqIAA,02/15/2023T00:26:11.000Z,insightssecurity@example.com,Security User,00eDn000003EFqnIAG,,
005Dn0000071jGAIAY,kstur,005Dn0000070keqIAA,02/17/2023T00:07:22.000Z,throwaway2@gmail.com,Kerry Sturgeon,00eDn000000Np71IAC,,
005Dn000007C8qMIAS,platint,005Dn000007C8qHIAS,02/15/2023T00:26:11.000Z,noreply@00ddn00000dgofzmap,Platform Integration User,00eDn000003EFqmIAG,,
005Dn000007C8qPIAS,Chatter,005Dn0000070keqIAA,02/15/2023T00:26:11.000Z,noreply@chatter.salesforce.com,Chatter Expert,00eDn000003EFqoIAG,,
